approved,submit_date,approved_date,last_update,artist,beatmap_id,beatmapset_id,bpm,creator,creator_id,difficultyrating,diff_aim,diff_speed,diff_size,diff_overall,diff_approach,diff_drain,hit_length,source,genre_id,language_id,title,total_length,version,file_md5,mode,tags,favourite_count,rating,playcount,passcount,count_normal,count_slider,count_spinner,max_combo,storyboard,video,download_unavailable,audio_unavailable
1,2007-10-06 17:46:31,2007-10-06 17:46:31,2007-10-06 17:46:31,Kenji Ninuma,75,1,120,peppy,2,2.62695,1.39853,1.12983,4,6,6,6,109,,2,3,DISCO PRINCE,142,Normal,233f55099932d0696a3ef192041bc30d,0,katamari,1658,8.32295,738725,92507,160,30,4,314,0,0,0,0
1,2007-10-06 19:32:02,2007-10-06 19:32:02,2007-10-06 19:32:02,Ni-Ni,53,3,172,MCXD,141,2.35844,1.37689,0.658214,5,4,4,3,77,,2,2,"1,2,3,4, 007 [Wipeout Series]",83,-Crusin-,6015fc9b2222237958236cb68728321e,0,,292,7.81758,131958,60153,67,15,1,124,0,0,0,0
1,2007-10-06 19:32:02,2007-10-06 19:32:02,2007-10-06 19:32:02,Ni-Ni,54,3,172,MCXD,141,3.4536,1.96857,1.18586,7,7,7,5,77,,2,2,"1,2,3,4, 007 [Wipeout Series]",83,-Hardrock-,617a8704318a1084ebb781c6a36e75fd,0,,292,7.81758,230746,52639,102,23,1,189,0,0,0,0
1,2007-10-06 19:32:02,2007-10-06 19:32:02,2007-10-06 19:32:02,Ni-Ni,55,3,172,MCXD,141,3.05073,1.71193,1.12745,6,6,6,4,77,,2,2,"1,2,3,4, 007 [Wipeout Series]",83,-Sweatin-,f5dcea02a4d366523a90360512e3e491,0,,292,7.81758,147836,47606,95,23,1,182,0,0,0,0
1,2007-10-06 19:32:02,2007-10-06 19:32:02,2007-10-06 19:32:02,Ni-Ni,91,3,172,MCXD,141,1.75048,1.02637,0.443683,4,3,3,2,77,,2,2,"1,2,3,4, 007 [Wipeout Series]",83,-Breezin-,214a177fddd1dd4a590163a56e8ae1ff,0,,292,7.81758,161349,97026,36,7,1,96,0,0,0,0
1,2007-10-07 13:19:10,2007-10-07 13:19:10,2007-10-07 13:19:10,Brandy,119,16,125,FFFanatic,677,3.46533,1.62049,1.75315,4,5,5,3,131,,2,6,Love Fighter,135,Normal,f1bfb1b4548bd0ed9ee8ea743f92cfad,0,,172,7.88633,145818,31011,286,47,6,453,0,0,0,0
1,2007-10-07 22:16:55,2007-10-07 22:16:55,2007-10-07 22:16:55,Scatman John,80,18,136.02,Extor,555,3.88325,1.79233,1.98366,5,4,4,4,156,,5,2,Scatman,185,Insane,031aa89810b8b673901fcc61a41c1b67,0,,1358,8.67276,2355890,334123,270,67,4,466,0,0,0,0
1,2007-10-07 22:37:19,2007-10-07 22:37:19,2007-10-07 22:37:19,Ken Hirai,86,23,139.87,Chan,94,2.57272,1.46922,0.869807,5,2,2,5,260,,5,3,Pop Star,268,Normal,b95723117da1acd454b5475e517f72af,0,,164,7.66892,215477,33109,216,73,3,432,0,1,0,0
1,2007-10-07 22:38:12,2007-10-07 22:38:18,2007-10-07 22:38:12,ASIAN KUNG-FU GENERATION,87,24,153,peppy,2,2.72877,1.55343,0.940461,5,4,4,3,220,,4,3,Re:Re:,227,Easy,6092329385b79d74a61ca45c5a5dc7dd,0,rere,628,8.51693,296397,71858,278,55,0,475,0,1,0,0
1,2007-10-07 22:38:12,2007-10-07 22:38:18,2007-10-07 22:38:12,ASIAN KUNG-FU GENERATION,88,24,153,peppy,2,2.7891,1.55389,1.05932,5,5,5,5,220,,4,3,Re:Re:,227,Normal,4205d88140adf86c16d48fee52995527,0,rere,628,8.51693,336671,65905,288,55,0,485,0,1,0,0
